Course Title,SCED Course Code,Course Description
Business Ethics,12060,Business Ethics courses focus on the study of ethical principles and the application of those principles to situations relevant to decision-making in the professional and business worlds.
Management—Independent Study,12097,"Management—Independent Study courses, often conducted with instructors as mentors, enable students to explore business management-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Management—Workplace Experience,12098,"Management—Workplace Experience courses provide students with work experience in fields related to business management. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Management—Other,12099,Other Management courses.
Banking and Finance,12101,"Banking and Finance courses provide students with an overview of the United States' monetary and banking systems, as well as types of financial institutions and the services and products that they offer. Course content may include government regulations; checking, savings, and money market accounts; loans; investments; and negotiable instruments."
Banking,12102,"Banking courses expose students to the United States' monetary and banking systems. These courses may also examine and apply the methods used for measuring the financial performance of banks in addition to examining specialized brokerage products, current issues, and future trends in banking."
Finance,12103,"Finance courses are similar to Banking and Finance courses, but they focus specifically on finance, addressing how businesses raise, distribute, and use financial resources while managing risk. Course content typically involves modeling financial decisions (such as borrowing, selling equity or stock, lending or investing) typically undertaken by businesses."
Accounting,12104,"Accounting courses introduce students to and expand their knowledge of the fundamental accounting principles and procedures used in businesses through integrating and using accounting-related software and information systems. Course content includes the recording and completion of the accounting cycle, payroll, taxes, debts, depreciation, and periodic adjustments through a computerized accounting program. Students may learn how to apply standard auditing principles and to prepare budgets and final reports. Calculators, electronic spreadsheets, or computer accounting software are usually used. Advanced topics may include principles of partnership and corporate accounting and the managerial uses of control systems and the accounting process."
Business Economics,12105,"Business Economics courses integrate economic principles (such as free market economy, consumerism, and the role of the U.S. government within the economic system) with entrepreneurship/business concepts (such as marketing principles, business law, and risk)."
Risk Management and Insurance,12106,"Risk Management and Insurance courses provide information about various risk management tools and techniques and may cover the perspective of insurance professionals and business owners. These courses may emphasize the specific uses, costs, and effectiveness of insurance products."
Securities and Investments,12107,"Formerly known as Investing, Securities and Investments courses emphasize the formulation of business and individual investment decisions by comparing and contrasting the investment qualities of cash, stock, bonds, and mutual funds. Students typically review annual reports, predict growth rates, and analyze trends. Stock market simulations are often incorporated into these courses."
Cost Accounting,12108,"Cost Accounting courses introduce students to the accounting concepts of manufacturing systems. In addition to job order and process costing systems, these courses emphasize profit planning and control programs."
Income Tax Accounting,12109,"Income Tax Accounting courses introduce students to and expand their knowledge of the fundamental accounting principles and procedures used in businesses through integrating and using accounting-related software and information systems. These courses focus on federal, state, and local business tax laws; business tax accounting methods; and the preparation of business tax forms."
Payroll Accounting,12110,"Payroll Accounting courses introduce students to and expand their knowledge of the fundamental accounting principles and procedures related to payroll transactions for businesses. These courses typically emphasize computing wages, social security taxes, income tax withholding, unemployment taxes, and recording payroll transactions while providing students with experience in preparing all the necessary monthly, quarterly, and annual reports."
Particular Topics in Accounting,12111,"These courses examine particular topics, such as auditing or non-profit accounting, rather than provide a general overview."
Finance—Independent Study,12147,"Finance—Independent Study courses, often conducted with instructors as mentors, enable students to explore business finance-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Finance—Workplace Experience,12148,"Finance—Workplace Experience courses provide students with work experience in fields related to finance. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Finance—Other,12149,Other Finances courses.
Marketing Career Exploration,12151,"Marketing Career Exploration courses expose students to the opportunities available in retail, wholesale, advertising, and other occupational fields using marketing principles."
Marketing—Comprehensive,12152,"Marketing—Comprehensive courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer. Topics may include, but are not limited to, market research, the purchasing process, distribution systems, warehouse and inventory control, salesmanship, sales promotions, shoplifting and theft control, business management, and entrepreneurship. Human relations, computers, and economics are sometimes covered as well."
Marketing—Fashion,12153,"Marketing—Fashion courses typically address basic knowledge of the apparel and accessories industry and the skills necessary for successful employment in apparel and accessory businesses. Students develop general marketing skills necessary for successful employment in fashion marketing, general marketing skills applicable to the apparel and accessories industry, and specialized skills unique to fashion marketing. Personal selling, sales promotion, purchasing, physical distribution, market planning, existing and emerging technology, and product/service management are usually included."
Marketing—Real Estate,12154,"Marketing—Real Estate courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the real estate industry. Topics may include purchasing, advertising, sales, human relations, management, and entrepreneurship but with particular attention to the real estate industry. Emphasis may be placed on financing, investment, ownership rights, ethics, and other real estate principles."
Marketing—Transportation,12155,"Marketing—Transportation courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the transportation industry. Topics may include purchasing and distribution systems, advertising, display and sales, management, and entrepreneurship with particular attention to the transportation industry. Emphasis may be placed on the identification and proper use of auto parts and accessories and the sales and service of new and used cars, vans, trucks, and related parts."
Marketing—Food/Beverage Industry,12156,"Marketing—Food/Beverage Industry courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the food and beverage industry. Topics may include purchasing and distribution systems, advertising, display and sales, management, and entrepreneurship. Emphasis may be placed on the unique characteristics and functions of the food and beverage service industry."
Marketing—Insurance,12157,"Marketing—Insurance courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the insurance industry. Topics may include purchasing and distribution systems, advertising, display and sales, management, and entrepreneurship. Emphasis may be placed on various categories of insurance including accident, health, life, marine, automobile, and causality insurance."
Marketing—Floristry,12158,"Marketing—Floristry courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the floral industry. Topics may include purchasing and distribution systems, advertising, display and sales, management, and entrepreneurship. Emphasis may be placed on the unique characteristics and functions of retail and wholesale floral operations."
Marketing—Hospitality/Tourism,12159,"Marketing—Hospitality/Tourism courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer in the travel, tourism, and lodging industries. Topics may include purchasing and distribution systems, advertising, display and sales, management, and entrepreneurship. Emphasis may be placed on the unique characteristics and functions of travel services and hotel/motel operations."
Marketing—Merchandising,12160,"Marketing—Merchandising courses address marketing in a retail/e-tail environment focusing on the buying and merchandising of products. Content includes, but is not limited to, marketing information management (including marketing research), market planning, channel management, sales, promotion, product/service management, and pricing."
Retail Marketing,12161,"Retail Marketing courses cover marketing principles and concepts related to the provision of goods or services directly to the consumer, emphasizing store operation, advertisement and display of goods, store security, human relations, and business management and ownership."
Internet Marketing,12162,"Internet Marketing covers the principles and functions of marketing from the standpoint of conducting business on the internet. Typically, students develop such skills as using the internet as a marketing tool, conducting a marketing analysis via the internet, planning marketing support activities, managing an electronic marketing campaign, managing/owning a business via the internet, and analyzing the impact of the internet on global marketing."
Sports and Entertainment Marketing,12163,"Sports and Entertainment Marketing courses provide students with a thorough understanding of fundamental marketing and management concepts and theories as they relate to the sports and entertainment industries. Content may address promotion of sports/events, licensing, sponsorship and endorsements, branding, marketing research, product development, pricing and distribution strategies, sales, event planning, and the role of existing and emerging technologies. These courses may also encourage students to develop job skills and explore career options."
Principles of Marketing,12164,"Principles of Marketing courses offer students insight into the processes affecting the flow of goods and services from the producer to the consumer. Course content ranges considerably as general marketing principles such as purchasing, distribution, and sales are covered; however, a major emphasis is often placed on kinds of markets; market identification; product planning, packaging, and pricing; and business management."
Principles of Advertising,12165,"Principles of Advertising courses expose students to the varied concepts underlying the promotion of products. The topics included in Principles of Advertising courses range considerably, but typically include the psychology of advertising, a study of various media, advertising planning and budgeting, and advertising layout and design principles. Course topics may also include an overview of commercial art and packaging."
Marketing Management,12166,"Marketing Management courses typically cover the same scope of topics as Marketing— Comprehensive courses (purchasing and distribution systems; advertising and sales; and so on) but place a particular emphasis on business management and entrepreneurship, providing exposure to common techniques and problems of management."
Marketing—Other Specialization,12167,"Marketing—Other Specialization courses focus on the wide range of factors that influence the flow of goods and services from the producer to the consumer with attention to a particular industry not specified above. Topics may include purchasing and distribution systems, promotion, advertising, display and sales, financing, management, entrepreneurship, market research, pricing, global marketing, human relations, economics, and emerging technologies. These courses may also cover specific topics related to the particular industry being covered."
Marketing —Commodities,12168,"Marketing —Commodities courses investigate the meaning and methods of marketing as related to agricultural commodities, products and services, and agricultural goods in domestic and international markets. Topics typically include appropriate market research; benefit/cost analysis of marketing; and methods of targeted agricultural marketing in domestic and international markets."
Social Media Marketing,12169,"Social Media Marketing courses address social media as a marketing tool and emphasize social media tools, social media messages, and search engine optimization. Topics may include, but are not limited to, marketing information management (including marketing research), market planning, channel management, sales, promotion, product/service management, and pricing."
Marketing—Independent Study,12197,"Marketing—Independent Study courses, often conducted with instructors as mentors, enable students to explore marketing-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Marketing—Workplace Experience,12198,"Marketing—Workplace Experience courses provide students with work experience in fields related to marketing. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Marketing—Other,12199,Other Marketing courses.
Cashier/Checker Operations,12201,"Cashier/Checker Operations courses provide students with the knowledge and skills to operate a cash register and to handle numerous transactions. Topics typically include cash register procedures; handling cash, credit, checks, food stamps, and other forms of legal tender; human relations; stocking and marking merchandise; and theft prevention. Job search and employability skills are often an integral part of the course."
Principles of Selling,12202,"Principles of Selling courses provide students with the knowledge and opportunity to develop in-depth sales competencies. Course content typically includes types of selling, steps in a sale, sales strategies, and interpersonal skills and techniques."
Sales—Independent Study,12247,"Sales—Independent Study courses, often conducted with instructors as mentors, enable students to explore sales-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Sales—Workplace Experience,12248,"Sales—Workplace Experience courses provide students with work experience in fields related to sales. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Sales—Other,12249,Other Sales courses.
Business and Marketing—School-based Enterprise,12993,"Business and Marketing—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to business and marketing within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing."
Business and Marketing—Career Project-based Learning,12994,"Business and Marketing—Career Project-based Learning courses provide students with an introduction to careers in the business and marketing field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field."
Business and Marketing—Aide,12995,"Business and Marketing—Aide courses offer students the opportunity to assist instructors in preparing, organizing, or delivering course curricula. Students may provide tutorial or instructional assistance to other students."
Business and Marketing—Independent Study,12997,"Business and Marketing—Independent Study courses, often conducted with instructors or professionals as mentors, enable students to explore business or marketing-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Business and Marketing—Workplace Experience,12998,"Business and Marketing—Workplace Experience courses provide students with work experience in fields related to business and marketing. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Business and Marketing—Other,12999,Other Business and Marketing courses.
Exploration of Manufacturing Occupations,13001,"Exploration of Manufacturing Occupations courses introduce and expose students to the career opportunities pertaining to the processing and production of goods. Course topics vary and may include (but are not limited to) systems pertinent to the manufacturing process, properties of various raw materials, and the methods used to transform materials into consumer products. Course activities depend upon the careers being explored; course topics may include entrepreneurship, labor laws, economic impact, and customer service."
Manufacturing—Comprehensive,13002,"Manufacturing—Comprehensive courses introduce students to the various methods used to process and transform materials. Processing techniques covered usually include casting, forming, separating, assembling, and finishing. The courses may also include an overview of management techniques in planning, organizing, and controlling various segments of the manufacturing process, including design, automation, engineering, production, and marketing."
Industrial Arts,13003,"Industrial Arts courses expose students to the tools and equipment that they may encounter in manufacturing-related occupations and enable them to develop the skills they need to use these tools in various applications. Course topics typically include (but are not limited to) planning and design, electricity and electronics, materials properties and testing, basic materials processing, and power technology. These courses typically cover general safety and career exploration as well."
Industrial Safety/First Aid,13004,"Industrial Safety/First Aid courses immerse students in the study of safe operating procedures related to various industrial environments, as well as more general training in emergency first aid and CPR. Course topics may include the importance of standard operation procedures, appropriate use of equipment, agencies and regulations related to occupational safety and hazard prevention, and the dangers of particular materials."
Material and Processes,13052,"Material and Processes courses expose students to the tools, equipment, and processes that may be encountered in manufacturing-related occupations. In particular, these courses stress the analysis, testing, and processing of metals, plastics, woods, ceramics, and composite materials."
Metal and Wood Processing/Production,13053,"Metal and Wood Processing/Production courses allow students to study the physical and chemical properties of metals, woods, and composites and to use these materials to construct usable products according to industry standards. These courses enable students to experience the process of translating an idea into a finished product, with instruction in planning, designing, selecting materials, and using tools and machines."
Wood Processing/Production,13054,"Wood Processing/Production courses allow students to study the physical and chemical properties of woods and composites made from woods and to use these materials to construct usable products according to industry standards. These courses enable students to experience the process of translating an idea into a finished product, with instruction in planning, designing, selecting materials, and using tools and machines."
Metal Processing/Production,13055,"Metal Processing/Production courses allow students to study the physical and chemical properties of metals and metal alloys and to use these materials to construct usable products according to industry standards. These courses enable students to experience the process of translating an idea into a finished product, with instruction in planning, designing, selecting materials, and using tools and machines."
Plastics Processing/Production,13056,"Plastics Processing/Production courses allow students to study the physical and chemical properties of plastics and composites and to use these materials to construct usable products according to industry standards. These courses enable students to experience the process of translating an idea into a finished product, with instruction in planning, designing, selecting materials, and using tools and machines."
Ceramic Processing/Production,13057,"Ceramic Processing/Production courses allow students to study the physical and chemical properties of ceramics and heat-resistant composites and to use these materials to construct usable products according to industry standards. These courses enable students to experience the process of translating an idea into a finished product, with instruction in planning, designing, selecting materials, and using tools and machines."
Particular Topics in Processing and Production,13058,"These courses examine specific topics in processing and production, such as substance analysis, other than those already described elsewhere in this classification system."
Processing/Production—Independent Study,13097,"Processing/Production—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest related to processing and production. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Processing/Production—Workplace Experience,13098,"Processing/Production—Workplace Experience courses provide students with work experience in fields related to manufacturing processing and production. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Processing/Production—Other,13099,Other Processing/Production courses.
Production Systems,13101,"Production Systems courses provide students with knowledge and skills related to manufacturing technologies from conception through production. Although courses vary, students typically analyze markets, design and develop prototypes, plan a marketing or sales strategy, manage a production plan, and manufacture useful products. These courses may also explore the evolution and impact of technology on society’s social, cultural, and economic systems and institutions."
Electro-Mechanical Systems,13102,"Electro-Mechanical Systems courses provide students with instruction and experience in components and equipment used within a manufacturing environment powered by electricity and physical forces. Students gain an understanding of basic and industrial electricity, industrial electronics, and the automated systems used in the manufacturing process or within manufactured goods."
Product Development,13103,Product Development courses provide students with the opportunity to focus on one or more areas of industrial technology to design or redesign a product to solve a problem. Students may build prototypes and working models and may evaluate the product and process according to industry standards.
Mechatronics,13104,"Mechatronics courses provide students with instruction and experience in mechatronics, a multidisciplinary subject involving mechanics, electronics, control theory, and computer science to design and manufacture products. Mechatronic systems form the foundation of robotics, automation, and advanced manufacturing (such as 3D printing). These courses typically expose students to the theoretical basis of mechatronics in addition to applying these theories to hands-on projects."
Production Systems—Independent Study,13147,"Production Systems—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest related to manufacturing systems and/or research. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Production Systems—Workplace Experience,13148,"Production Systems—Workplace Experience courses provide students with work experience in fields related to manufacturing systems and/or research. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Production Systems—Other,13149,Other Production Systems courses.
Metalwork Occupations,13201,"Metalwork Occupations courses introduce and expose students to the theoretical principles and career opportunities pertaining to planning, manufacturing, assembling, testing, and repairing of parts, mechanisms, and structures in which materials are cast, formed, treated, cut, fused, or otherwise processed in some fashion."
Metalworking,13202,"Metalworking courses introduce students to the physical and chemical properties of various metals and the tools and equipment used to manipulate metal and form it into products. Students will develop planning, layout, and measurement skills; gain experience in cutting, bending, forging, casting, and/or welding metal; complete projects according to blueprints or other specifications; and may also learn how to polish and finish metals. Correct use of metalworking tools and equipment is stressed."
Machining,13203,"Machining courses enable students to design and manufacture metal parts using various machine tools and equipment. Course content may include interpreting specifications using blueprints; preparing and using manual and computer numerical controlled (CNC) lathes and milling machines, shapers, and grinders with skill, safety, and precision; maintenance; developing part specifications; and selecting appropriate materials. Advanced course topics may include quality control; statistical process control; and application of measurements, metalworking theory, and properties of materials. Courses may prepare students for industry certification."
Particular Topics in Machining,13204,"These courses examine specific topics related to machining, emphasizing a particular type of machine, tool, or procedure, or concentrating on a particular application of machining techniques."
Sheet Metal,13205,"Sheet Metal courses expose students to the skills and information necessary to lay out, fabricate, assemble, install, maintain, and repair items and structures created from sheet metal components. Students learn the safe and efficient operation of various tools and typically gain skill in blueprint reading, welding, and finishing and polishing metals."
Particular Topics in Sheet Metal,13206,"In these courses students gain knowledge and skills in particular aspects of sheet metal. Examples include individual courses in radial line development, triangulation fabrication, and so on."
Welding,13207,"Welding courses enable students to gain knowledge of the physical and chemical properties, uses, and applications of various metals. Students gain skills in various processes used to join and cut metals (such as oxyacetylene, shielded metal, metal inert gas, and tungsten arc processes) and experience in identifying, selecting, and rating appropriate techniques. Students read and interpret blueprints in order to identify, select, and rate appropriate techniques. These courses may prepare students to pass relevant industry certifications."
Particular Topics in Welding,13208,"In these courses students gain knowledge and skills in particular aspects of welding. Examples include individual courses in each of the following types of welding: gas metal, gas tungsten, and shielded metal and flux core arc welding."
Particular Topics in Metalwork,13209,In these courses students gain knowledge and skills in particular aspects of metalwork (such as foundry work or metallurgy) not otherwise described elsewhere in this classification system.
Metalwork—Independent Study,13247,"Metalwork—Independent Study courses, often conducted with instructors as mentors, enable students to explore metalwork-related topics of interest. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Metalwork—Workplace Experience,13248,"Metalwork—Workplace Experience courses provide students with work experience in the welding, machine technologies, or metalwork fields. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Metalwork—Other,13249,Other Metalwork courses.
Appliance Repair,13301,"Appliance Repair courses provide students with the knowledge and experience to repair, install, service, and inspect appliances such as stoves, refrigerators, washers, dryers, air conditioners, water heaters, and so on. Students gain an understanding of the mechanics and working systems of these appliances, the skills to read blueprints and specifications, and proficiency in using related tools and products."
Equipment Maintenance and Repair,13302,"Equipment Maintenance and Repair courses prepare students to adjust, maintain, replace, and repair parts of machinery and to repair tools, equipment, and machines. The courses may have a general emphasis or may focus on a specific type of machinery or equipment related to a particular industry. Depending upon the intent, course topics may include electric, hydraulic, pneumatic, or mechanic systems; programmable logic and motor control devices, valves, and gates; or supplemental equipment such as fans, hoses, and pipes."
Industrial Maintenance,13303,"Industrial Maintenance courses introduce students to the care and maintenance of a wide range of industrial equipment, including chain and gear drives, couplings, and fluid power equipment. Course topics may include lubricants and lubrication, the replacement of seals and bearings, and the correct application and selection of hand and power tools. Advanced courses may emphasize motor alignment using laser alignment, milling operations, turning operations, welding, technical drawings, and quality control."
Repair—Independent Study,13347,"Repair—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics related to repair. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Repair—Workplace Experience,13348,"Repair—Workplace Experience courses provide students with work experience in the fields involving repair, supported by classroom attendance and discussion. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Repair—Other,13349,Other Repair courses.
Manufacturing—School-based Enterprise,13993,"Manufacturing—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to manufacturing within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing."
Manufacturing—Career Project-based Learning,13994,"Manufacturing—Career Project-based Learning courses provide students with an introduction to careers in the manufacturing field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field."
Manufacturing—Aide,13995,"Manufacturing—Aide courses offer interested students the opportunity to assist instructors in preparing, organizing, or delivering course curricula. Students may provide tutorial or instructional assistance to other students."
Manufacturing—Independent Study,13997,"Manufacturing—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics related to manufacturing. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Manufacturing—Workplace Experience,13998,"Manufacturing—Workplace Experience courses provide students with work experience in fields involving manufacturing, supported by classroom attendance and discussion. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Manufacturing—Other,13999,Other Manufacturing courses.
Exploration of Health Care Occupations,14001,"Exploration of Health Care Occupations courses expose students to the variety of opportunities available within the health care industry (e.g., nursing, therapy, dental care, administrative services, and lab technology). These courses provide experiences in several of these occupational clusters, along with information and knowledge related to the health care industry as a whole."
Health Care Occupations—Comprehensive,14002,"Health Care Occupations—Comprehensive courses provide students with an orientation to the health care industry and help refine their health care-related knowledge and skills. Topics covered usually include (but are not limited to) an overview of health care delivery; patient care, including assessment of vital signs, body mechanics, and diet; anatomy and physiology; identification and use of medical equipment and supplies; medical terminology; hygiene and disease prevention; first aid and CPR procedures; laboratory procedures; and ethical and legal responsibilities."
Medical Law and Ethics,14003,"Medical Law and Ethics courses introduce students to the principles of medical law, medical ethics, and bioethics. These courses emphasize the function of law and ethical issues as it applies to the medical environment."
Nursing,14051,"Nursing courses place a special emphasis on the particular knowledge and skills required of nurses and/or nursing assistants and aides while covering general health care topics (i.e., patient care, anatomy and physiology, medical terminology, hygiene and disease prevention, first aid and CPR, and laboratory procedures). Topics covered typically include normal growth and development; bathing, feeding, dressing, and transporting patients; basic pharmacology; doctor, nurse, and patient relationships and roles; medical and professional ethics; death and dying; and care of various kinds of patients (e.g., chronically ill, children, new mothers, and so on)."
Nursing—LPN,14052,"Covering the same scope of topics as Nursing courses, Nursing—LPN courses delve into more depth in order to prepare students for the state’s practical nurse licensing examination. Nursing—LPN courses offer the knowledge and experience needed to provide nursing care for patients of all ages, in various stages of sickness or health, and with a variety of disease conditions. Additional topics covered may include community health, nutrition, drug therapy and administration, and mental illness."
Home Health Care,14053,"Home Health Care courses teach students how to care for individuals within their homes. Course content relates health care practices and procedures to the home environment, and typically includes patient care, comfort, and safety; anatomy and physiology; the prevention of disease and infection; nutrition and meal preparation; human relations; and first aid and CPR. Topics covered may also include therapy strategies, household management, and employability."
Dental Science,14054,"Dental Science courses expose students to the tools, terminology, and procedures necessary for a career in the dental industry. Course content covers a wide range of topics and typically includes dental anatomy and terminology; the identification and use of dental equipment; dental pathologies and procedures; asepsis; dental laboratory procedures; emergency first aid; and the ethical and legal responsibilities of dental care workers. These courses often explore dental specialties and career options."
Emergency Medical Technology,14055,"Emergency Medical Technology courses place a special emphasis on the knowledge and skills needed in medical emergencies. Topics typically include clearing airway obstructions, controlling bleeding, bandaging, methods for lifting and transporting injured persons, simple spinal immobilization, infection control, stabilizing fractures, and responding to cardiac arrest. The courses may also cover the legal and ethical responsibilities involved in dealing with medical emergencies. These courses may prepare students to obtain certification in Emergency Medical Response (EMR), CPR, First Aid, Incident Command System (ICS), and Wilderness First Responder."
Surgical Technology,14056,"Surgical Technology courses emphasize the care and needs of patients undergoing surgery while covering general health care topics (i.e., patient care, anatomy and physiology, medical terminology, hygiene and disease prevention, first aid and CPR, and laboratory procedures). In keeping with that focus, topics may include operation room materials, tools, and procedures; aseptic surgical techniques; preparation and handling of surgical instruments; efficiency in the operating room; and the roles of various medical personnel who are present during surgery."
Vision Care,14057,"Vision Care courses expose students to the tools, terminology, and procedures necessary for a career in the optometric or optic field. Vision Care courses typically include the physics of light and refraction; the anatomy, physiology, and terminology associated with the eyes; identification and use of optometric and/or optical equipment; optical procedures; human relations; and the ethical and legal responsibilities of vision care workers."
Optometrics,14058,"Optometrics courses provide students with the knowledge, ability, and experiences to prepare, assemble, and/or fit corrective lenses prescribed by a physician or optometrist. Topics covered may include layout and marking, cutting and chipping, edging and beveling, inspection, alignment, dispensing, and selection of eyewear."
Gerontology,14059,"Gerontology courses provide students with knowledge and understanding of the processes of adult development and aging. Topics covered may include the study of the biological, economic, psychological, social, and health/fitness aspects of the aging process."
Physical Therapy,14060,"Physical Therapy courses provide students with the knowledge and skills necessary to work with patients who need to achieve and maintain functional rehabilitation and to prevent malfunction or deformity. Topics covered typically include therapeutic exercises and activities (such as stretching and strengthening), how to train patients to perform the activities of daily living, the use of special equipment, and evaluation of patient progress."
Respiratory Therapy,14061,"Respiratory Therapy courses provide students with the knowledge and skills necessary to work with patients who have breathing or other cardiopulmonary difficulties or disorders. Topics covered typically include identifying deficiencies and abnormalities of the cardiopulmonary system, understanding the various methods of therapies, and understanding how to use special equipment."
Sports Medicine,14062,"Formerly known as Care of Athletes, Sports Medicine courses provide students with the knowledge and skills to understand and perform therapeutic tasks that would be designated by an athletic or fitness trainer. Topics covered may include taping and bandaging, proper use of protective padding, treatment modalities, anatomy and physiology, and medical terminology. Students may learn to measure cardiorespiratory endurance, muscular strength and endurance, flexibility, body composition, and blood pressure. More advanced topics may include injury assessment, the phases of healing, and the use of exercise and equipment to help in the reconditioning of injured athletes."
Particular Topics in Therapeutic Services,14063,These courses examine particular topics in medical therapeutic services other than those already described elsewhere in this classification system.
Therapeutic Services—Independent Study,14097,"Therapeutic Services—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest related to therapeutic services. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills."
Therapeutic Services—Workplace Experience,14098,"Therapeutic Services—Workplace Experience courses provide students with work experience in fields related to therapeutic services. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
